Files already downloaded and verified
('Finish teacher outputs:', 23.630568981170654, 's')
Train Epoch: 2 [4480/50000 (9%)], Loss: 2.461412, Top1:37.192, Top5:66.307
Train Epoch: 2 [5120/50000 (10%)], Loss: 2.582264, Top1:37.114, Top5:66.262
Train Epoch: 2 [5760/50000 (12%)], Loss: 2.670077, Top1:37.054, Top5:66.089
Train Epoch: 2 [6400/50000 (13%)], Loss: 2.477307, Top1:37.067, Top5:66.166
Train Epoch: 2 [7040/50000 (14%)], Loss: 2.301246, Top1:36.768, Top5:66.090
Train Epoch: 2 [7680/50000 (15%)], Loss: 2.409254, Top1:36.958, Top5:66.219
Train Epoch: 2 [8320/50000 (17%)], Loss: 2.430001, Top1:36.939, Top5:66.281
Train Epoch: 2 [8960/50000 (18%)], Loss: 2.324573, Top1:36.879, Top5:66.201
Train Epoch: 2 [9600/50000 (19%)], Loss: 2.362803, Top1:36.765, Top5:66.225
Train Epoch: 2 [10240/50000 (20%)], Loss: 2.732101, Top1:36.656, Top5:66.266
Train Epoch: 2 [10880/50000 (22%)], Loss: 2.301897, Top1:36.824, Top5:66.420
Train Epoch: 2 [11520/50000 (23%)], Loss: 2.349122, Top1:36.792, Top5:66.514
Train Epoch: 2 [12160/50000 (24%)], Loss: 2.377640, Top1:36.846, Top5:66.459
Train Epoch: 2 [12800/50000 (26%)], Loss: 2.608350, Top1:37.111, Top5:66.589
Train Epoch: 2 [13440/50000 (27%)], Loss: 2.435365, Top1:37.241, Top5:66.640
Train Epoch: 2 [14080/50000 (28%)], Loss: 2.649346, Top1:37.302, Top5:66.777
Train Epoch: 2 [14720/50000 (29%)], Loss: 2.575101, Top1:37.338, Top5:66.843
Train Epoch: 2 [15360/50000 (31%)], Loss: 2.572229, Top1:37.461, Top5:66.889
Train Epoch: 2 [16000/50000 (32%)], Loss: 2.303611, Top1:37.600, Top5:66.845
Train Epoch: 2 [16640/50000 (33%)], Loss: 2.476993, Top1:37.650, Top5:66.876
Train Epoch: 2 [17280/50000 (35%)], Loss: 2.701391, Top1:37.777, Top5:66.899
Train Epoch: 2 [17920/50000 (36%)], Loss: 2.142674, Top1:37.845, Top5:67.004
Train Epoch: 2 [18560/50000 (37%)], Loss: 2.884796, Top1:37.860, Top5:67.037
Train Epoch: 2 [19200/50000 (38%)], Loss: 2.325163, Top1:37.853, Top5:67.042
Train Epoch: 2 [19840/50000 (40%)], Loss: 2.306914, Top1:37.882, Top5:67.117
Train Epoch: 2 [20480/50000 (41%)], Loss: 2.503213, Top1:37.860, Top5:67.153
Train Epoch: 2 [21120/50000 (42%)], Loss: 2.248009, Top1:37.901, Top5:67.258
Train Epoch: 2 [21760/50000 (43%)], Loss: 2.407674, Top1:37.862, Top5:67.330
Train Epoch: 2 [22400/50000 (45%)], Loss: 2.215025, Top1:37.981, Top5:67.379
Train Epoch: 2 [23040/50000 (46%)], Loss: 2.326528, Top1:38.028, Top5:67.443
Train Epoch: 2 [23680/50000 (47%)], Loss: 2.502604, Top1:38.106, Top5:67.428
Train Epoch: 2 [24320/50000 (49%)], Loss: 2.501234, Top1:38.132, Top5:67.352
Train Epoch: 2 [24960/50000 (50%)], Loss: 2.255608, Top1:38.239, Top5:67.447
Train Epoch: 2 [25600/50000 (51%)], Loss: 2.206136, Top1:38.244, Top5:67.425
Train Epoch: 2 [26240/50000 (52%)], Loss: 2.171380, Top1:38.283, Top5:67.442
Train Epoch: 2 [26880/50000 (54%)], Loss: 2.092960, Top1:38.239, Top5:67.488
Train Epoch: 2 [27520/50000 (55%)], Loss: 2.571348, Top1:38.312, Top5:67.499
Train Epoch: 2 [28160/50000 (56%)], Loss: 2.278092, Top1:38.368, Top5:67.485
Train Epoch: 2 [28800/50000 (58%)], Loss: 2.478464, Top1:38.411, Top5:67.527
Train Epoch: 2 [29440/50000 (59%)], Loss: 2.354977, Top1:38.405, Top5:67.513
